wave,species,line
4.052281,HI,(5-4)
7.459882,HI,(6-5)
4.653792,HI,(7-5)
3.740567,HI,(8-5)
3.297001,HI,(9-5)
3.039211,HI,(10-5)
12.37192,HI,(7-6)
7.502509,HI,(8-6)
5.9082134,HI,(9-6)
5.128668,HI,(10-6)
4.672519,HI,(11-6)
4.376454,HI,(12-6)
19.06189,HI,(8-7)
11.30869,HI,(9-7)
8.760064,HI,(10-7)
7.508105,HI,(11-7)
6.771991,HI,(12-7)
6.291916,HI,(13-7)
5.956843,HI,(14-7)
5.711462,HI,(15-7)
27.80338,HI,(9-8)
16.209104,HI,(10-8)
12.387168,HI,(11-8)
10.503499,HI,(12-8)
9.3920177,HI,(13-8)
8.664502,HI,(14-8)
8.1548905,HI,(15-8)
7.7803696,HI,(16-8)
22.340457,HI,(11-9)
16.880628,HI,(12-9)
14.183084,HI,(13-9)
12.587077,HI,(14-9)
11.539492,HI,(15-9)
10.803602,HI,(16-9)
10.261271,HI,(17-9)
9.8470326,HI,(18-9)
18.615151,HI,(14-10)
16.411724,HI,(15-10)
14.962256,HI,(16-10)
13.9418,HI,(17-10)
13.188,HI,(18-10)
12.8135,[Ne II], 
15.555,[Ne III], 
6.636,[Ni II], 
6.9853,[Ar II], 
5.3402,[Fe II], 
5.6739,[Fe II], 
6.7213,[Fe II], 
14.9772,[Fe II], 
17.936,[Fe II], 
24.5192,[Fe II], 
25.9884,[Fe II], 
25.249,[S I], 
18.71303,[S III], 