xmin,xmax,lam
4.9116,4.9136,4.9126
4.9623,4.9639,4.9631
4.974,4.9763,4.97515
4.9856,4.9881,4.98685
5.0493,5.0506,5.04995
5.073,5.0756,5.0743
5.1011,5.1029,5.102
5.1775,5.183,5.18025
5.191,5.1936,5.1923
5.2881,5.29,5.28905
5.3121,5.3145,5.3133
5.3272,5.3293,5.32825
5.3953,5.3974,5.39635
5.4462,5.4483,5.44725
5.4717,5.4747,5.4732
5.4958,5.4987,5.49725
5.5728,5.5751,5.57395
5.5937,5.5971,5.5954
5.6065,5.6092,5.60785
5.6273,5.6292,5.62825
5.6356,5.6376,5.6366
5.6698,5.6722,5.671
5.6964,5.6988,5.6976
5.7572,5.7604,5.7588
5.8111,5.8143,5.8127
5.8538,5.855,5.8544
5.9861,5.9875,5.9868
5.998,6.0025,6.00025
6.0829,6.0858,6.08435
6.0918,6.0941,6.09295
6.1246,6.133,6.1288
6.1333,6.1397,6.1365
6.1781,6.1819,6.18
6.1888,6.1914,6.1901
6.1957,6.1972,6.19645
6.2093,6.2107,6.21
6.2307,6.2338,6.23225
6.249,6.2522,6.2506
6.2739,6.2755,6.2747
6.2966,6.2992,6.2979
6.3063,6.3123,6.3093
6.3214,6.324,6.3227
6.3276,6.3302,6.3289
6.3472,6.3493,6.34825
6.36,6.3631,6.36155
6.3934,6.3959,6.39465
6.446,6.4479,6.44695
6.4627,6.4665,6.4646
6.5334,6.5368,6.5351
6.6043,6.6091,6.6067
6.6506,6.6536,6.6521
6.6934,6.7008,6.6971
6.7585,6.763,6.76075
6.8935,6.8987,6.8961
6.9111,6.9163,6.9137
7.0048,7.0063,7.00555
7.1594,7.1611,7.16025
7.1808,7.1857,7.18325
7.2665,7.268,7.26725
7.3097,7.3151,7.3124
7.3197,7.3279,7.3238
7.4032,7.4072,7.4052
7.4449,7.4465,7.4457
7.5599,7.5657,7.5628
7.6238,7.6262,7.625
7.6344,7.6357,7.63505
7.6474,7.6495,7.64845
7.672,7.6759,7.67395
7.6885,7.6964,7.69245
7.7964,7.8004,7.7984
7.8181,7.8232,7.82065
7.8442,7.8482,7.8462
7.9177,7.9196,7.91865
7.9283,7.9304,7.92935
7.949,7.9511,7.95005
7.9711,7.9741,7.9726
7.9959,7.9991,7.9975
8.0023,8.0071,8.0047
8.0639,8.0658,8.06485
8.0849,8.0906,8.08775
8.0997,8.1019,8.1008
8.1227,8.1333,8.128
8.1343,8.1368,8.13555
8.1784,8.1803,8.17935
8.2169,8.2202,8.21855
8.2911,8.3035,8.2973
8.3103,8.3138,8.31205
8.3596,8.362,8.3608
8.3837,8.3861,8.3849
8.4014,8.4095,8.40545
8.417,8.4203,8.41865
8.4652,8.4684,8.4668
8.5844,8.5886,8.5865
8.6232,8.6257,8.62445
8.636,8.6419,8.63895
8.6917,8.6953,8.6935
8.7252,8.7291,8.72715
8.7383,8.7407,8.7395
8.7765,8.7836,8.78005
8.8089,8.8164,8.81265
8.8261,8.835,8.83055
8.8455,8.8523,8.8489
8.8532,8.8579,8.85555
8.8919,8.8999,8.8959
8.908,8.9115,8.90975
8.9367,8.939,8.93785
9.0049,9.0184,9.01165
9.0718,9.0886,9.0802
9.098,9.1097,9.10385
9.1122,9.1163,9.11425
9.1904,9.1928,9.1916
9.2005,9.2046,9.20255
9.2323,9.2414,9.23685
9.2738,9.2761,9.27495
9.2899,9.2983,9.2941
9.3016,9.3049,9.30325
9.3293,9.3346,9.33195
9.3394,9.3418,9.3406
9.3495,9.3659,9.3577
9.4133,9.4301,9.4217
9.4984,9.5027,9.50055
9.5316,9.5572,9.5444
9.6112,9.6162,9.6137
9.6315,9.6408,9.63615
9.6474,9.6537,9.65055
9.6896,9.7004,9.695
9.7207,9.7429,9.7318
9.7633,9.7788,9.77105
9.87,9.88,9.875
9.9701,9.9847,9.9774
10.0148,10.0244,10.0196
10.1043,10.1081,10.1062
10.1215,10.1257,10.1236
10.1436,10.1575,10.15055
10.1778,10.2147,10.19625
10.2385,10.2427,10.2406
10.4397,10.4528,10.44625
10.5154,10.5221,10.51875
10.6155,10.6235,10.6195
10.6393,10.6466,10.64295
10.6778,10.6835,10.68065
10.7052,10.709,10.7071
10.7168,10.7208,10.7188
10.7408,10.7521,10.74645
10.7862,10.7948,10.7905
10.8355,10.8396,10.83755
10.8587,10.8653,10.862
10.9083,10.9278,10.91805
10.9468,10.9683,10.95755
11.0964,11.1153,11.10585
11.1248,11.1353,11.13005
11.1459,11.1562,11.15105
11.1826,11.2002,11.1914
11.2233,11.2263,11.2248
11.2744,11.2873,11.28085
11.3325,11.342,11.33725
11.3434,11.3528,11.3481
11.3667,11.3782,11.37245
11.4118,11.4257,11.41875
11.4615,11.4741,11.4678
11.5074,11.5196,11.5135
11.5784,11.5881,11.58325
11.6388,11.6419,11.64035
11.6573,11.6715,11.6644
11.6885,11.6963,11.6924
11.8411,11.8494,11.84525
11.8692,11.8821,11.87565
11.9943,11.9992,11.99675
12.0423,12.0491,12.0457
12.1235,12.1325,12.128
12.3011,12.3099,12.3055
12.3284,12.3376,12.333
12.4631,12.4735,12.4683
12.4851,12.492,12.48855
12.9342,12.9499,12.94205
12.9918,12.9985,12.99515
13.0507,13.0559,13.0533
13.104,13.111,13.1075
13.2126,13.2171,13.21485
13.343,13.3512,13.3471
14.4352,14.4464,14.4408
14.5592,14.5773,14.56825
14.7371,14.7515,14.7443
14.7644,14.7743,14.76935
15.0093,15.0295,15.0194
15.0669,15.0788,15.07285
15.2019,15.2213,15.2116
15.5324,15.5443,15.53835
15.6786,15.684,15.6813
15.7069,15.7157,15.7113
15.9071,15.9201,15.9136
15.9353,15.9467,15.941
16.0625,16.0705,16.0665
16.088,16.0965,16.09225
16.2848,16.2993,16.29205
16.3382,16.3597,16.34895
16.5148,16.5348,16.5248
16.564,16.5747,16.56935
16.6913,16.6994,16.69535
16.7747,16.7969,16.7858
16.9533,16.9668,16.96005
17.0154,17.0244,17.0199
17.0566,17.0743,17.06545
17.1569,17.1797,17.1683
17.2836,17.2999,17.29175
17.4159,17.4377,17.4268
17.4719,17.4912,17.48155
17.5482,17.5558,17.552
17.5816,17.5864,17.584
17.6618,17.667,17.6644
17.8546,17.8643,17.85945
17.8835,17.9003,17.8919
17.9729,18.0153,17.9941
18.0936,18.1,18.0968
18.4465,18.4546,18.45055
18.5635,18.5739,18.5687
18.677,18.695,18.686
18.7318,18.7417,18.73675
18.8036,18.8192,18.8114
18.8981,18.9167,18.9074
18.9468,18.9653,18.95605
19.1411,19.1711,19.1561
19.3612,19.3736,19.3674
19.3913,19.4042,19.39775
19.5081,19.5519,19.53
19.7016,19.7154,19.7085
19.8536,19.8626,19.8581
20.402,20.4148,20.4084
20.5078,20.5329,20.52035
20.584,20.63,20.607
20.6821,20.771,20.72655
20.72,20.735,20.7275
20.83,20.85,20.84
20.9537,20.9769,20.9653
21.3018,21.3145,21.30815
21.391,21.4083,21.39965
21.4802,21.5013,21.49075
21.6264,21.6481,21.63725
21.9215,21.9419,21.9317
22.0572,22.0642,22.0607
22.0995,22.1217,22.1106
22.1515,22.1722,22.16185
22.1736,22.1935,22.18355
22.2982,22.3145,22.30635
22.49,22.52,22.505
22.5554,22.5915,22.57345
22.683,22.6975,22.69025
22.7889,22.813,22.80095
22.9341,22.9496,22.94185
23.0229,23.0506,23.03675
23.1434,23.1726,23.158
23.2704,23.3097,23.29005
23.4006,23.4474,23.424
23.6591,23.7082,23.68365
23.7182,23.7318,23.725
23.965,24.044,24.0045
24.228,24.2412,24.2346
24.2717,24.2872,24.27945
24.3374,24.3492,24.3433
24.789,24.8076,24.7983
24.8524,24.8844,24.8684
25.2745,25.2984,25.28645
25.383,25.449,25.416
25.7377,25.7599,25.7488
25.7801,25.8158,25.79795
25.8809,25.916,25.89845
26.0679,26.0845,26.0762
26.114,26.1279,26.12095
26.2175,26.229,26.22325
26.2941,26.319,26.30655
26.3611,26.4026,26.38185
26.4807,26.5005,26.4906
26.5365,26.5541,26.5453
26.8131,26.8486,26.83085
26.8727,26.8953,26.884
26.9341,26.98,26.95705
27.1487,27.1768,27.16275
27.2028,27.2379,27.22035
27.2624,27.2753,27.26885
27.4798,27.5205,27.50015
27.7204,27.7735,27.74695
27.7744,27.8344,27.8044