lev_up,lev_low,lam, tau,intens,a_stein,e_up,g_up,xmin,xmax,flux
0_0_0|21_4_17,0_0_0|20_3_18,9.90602,0.412498988,3.916708518,10.81,8270.2627,129,9.9015,9.9101,7.89E-15
0_0_0|17_7_10,0_0_0|16_4_13,10.1132,0.407553587,3.719036647,1.558,6371.06738,105,10.11,10.116,7.75E-15
0_0_0|14_9_6,0_0_0|13_6_7,10.76435,0.578537564,4.398033962,0.7628,5302.479,87,10.761,10.7709,7.49E-15
0_0_0|15_6_9,0_0_0|14_3_12,10.85307,0.756702504,5.34945363,0.6586,4996.70068,93,10.8468,10.8614,1.15E-14
0_0_0|12_6_7,0_0_0|11_1_10,11.00168,0.328953475,2.590460011,0.06643,3501.69531,75,10.9953,11.009,8.78E-15
0_0_0|20_8_13,0_0_0|19_5_14,11.17771,0.436099711,3.206231268,14.51,8556.8457,123,11.172,11.1853,9.12E-15
0_0_0|12_9_4,0_0_0|11_6_5,11.2531,0.569049824,3.951983506,0.2919,4363.36426,75,11.2452,11.2612,9.44E-15
0_0_0|20_7_14,0_0_0|19_4_15,11.26877,0.711490944,4.711658563,16.82,8257.4707,123,11.2607,11.2782,8.12E-15
0_0_0|18_8_11,0_0_0|17_5_12,11.61657,0.914960329,5.337088584,7.511,7244.42334,111,11.61,11.6242,1.35E-14
0_0_0|17_3_14,0_0_0|16_2_15,11.64764,3.770165938,11.35030631,4.608,5483.08789,105,11.6383,11.6577,2.21E-14
0_0_0|13_5_8,0_0_0|12_2_11,11.70161,0.83669966,4.918251417,0.1994,3783.02563,81,11.693,11.709,8.79E-15
0_0_0|14_8_7,0_0_0|13_5_8,11.96812,1.54311894,7.073176029,1.268,4985.19971,87,11.9608,11.9768,1.50E-14
0_0_0|18_7_12,0_0_0|17_4_13,12.26544,2.20325109,8.123195904,12.28,6953.90771,111,12.2573,12.2719,1.82E-14
0_0_0|10_6_5,0_0_0|9_1_8,12.5645,0.464417019,2.622557781,0.03912,2697.66797,63,12.5581,12.5713,8.04E-15
0_0_0|17_7_11,0_0_0|16_4_12,12.72945,1.127370103,5.053104145,9.669,6344.06348,35,12.7212,12.7381,1.25E-14
0_0_0|12_5_7,0_0_0|11_2_10,12.89409,0.631120114,3.188838604,0.2562,3310.17212,25,12.8871,12.9017,1.08E-14
0_0_0|12_7_5,0_0_0|11_4_8,12.98575,1.119482648,4.80825821,0.7422,3759.67456,25,12.979,12.9932,1.33E-14
0_0_0|16_7_10,0_0_0|15_4_11,13.13243,4.592902517,9.273777505,7.028,5763.84668,99,13.1242,13.1398,2.11E-14
0_0_0|15_3_12,0_0_0|14_2_13,13.29319,10.36365637,11.07333419,3.783,4431.68994,93,13.2845,13.3005,3.90E-14
0_0_0|11_7_4,0_0_0|10_4_7,13.50312,3.382041649,7.853037325,0.4852,3340.70435,69,13.4948,13.5141,2.68E-14
0_0_0|15_5_11,0_0_0|14_2_12,13.91485,4.476834679,8.056782063,6.253,4704.13721,31,13.9073,13.9219,2.27E-14
0_0_0|20_10_11,0_0_0|19_9_10,14.19856,1.554115499,4.82464455,80.31,9218.35645,123,14.192,14.2043,1.01E-14
0_0_0|14_3_11,0_0_0|13_2_12,14.34608,5.505084721,7.972843329,3.382,3941.42627,29,14.34,14.3546,2.67E-14
0_0_0|15_4_11,0_0_0|14_3_12,14.42757,14.28218955,9.719276588,6.089,4668.25586,93,14.4187,14.4362,3.20E-14
0_0_0|13_2_11,0_0_0|12_1_12,14.51301,12.50296801,9.368960568,1.232,3232.76587,81,14.5027,14.5225,4.57E-14
0_0_0|19_10_10,0_0_0|18_9_9,14.60337,1.050726885,3.510207637,78.26,8547.61523,39,14.5955,14.6116,5.90E-15
0_0_0|14_5_10,0_0_0|13_2_11,14.89513,21.19933461,9.51689339,5.491,4198.70312,87,14.8888,14.9038,3.86E-14
0_0_0|13_3_10,0_0_0|12_2_11,15.62568,25.67000211,8.662881425,2.988,3474.2478,81,15.6148,15.6371,4.00E-14
0_0_0|12_3_10,0_0_0|11_0_11,15.73819,18.24513454,8.192760669,1.102,2823.60913,75,15.7289,15.7493,4.38E-14
0_0_0|13_5_9,0_0_0|12_2_10,15.96622,10.48863292,7.214598633,4.676,3721.43921,27,15.9561,15.9736,2.07E-14
0_0_0|15_5_10,0_0_0|14_4_11,16.27136,21.25885026,7.700632176,9.232,4835.15381,93,16.2638,16.2813,2.43E-14
0_0_0|17_7_10,0_0_0|16_6_11,16.50525,13.86522493,7.009143373,28.79,6371.06738,105,16.4943,16.5161,1.57E-14
0_0_0|11_6_6,0_0_0|10_3_7,16.54402,5.600171774,5.696005298,1.37,3082.71973,23,16.535,16.5521,1.72E-14
0_0_0|16_9_7,0_0_0|15_8_8,16.59123,8.619130242,6.300374496,56.44,6369.79004,33,16.5819,16.6013,1.12E-14
0_0_0|12_4_9,0_0_0|11_1_10,16.66379,37.28195154,7.672537904,2.691,3057.33081,75,16.6572,16.6747,3.77E-14
0_0_0|8_6_2,0_0_0|7_3_5,16.8082,1.380459545,2.997782594,0.1388,2031.03748,17,16.7978,16.8181,1.57E-14
0_0_0|9_5_4,0_0_0|8_2_7,16.90054,7.871752142,5.896924089,0.2601,2125.50122,57,16.8943,16.9099,2.62E-14
0_0_0|12_5_8,0_0_0|11_2_9,17.10254,42.76024303,7.29075494,3.78,3273.75366,75,17.0917,17.1121,3.46E-14
0_0_0|11_2_9,0_0_0|10_1_10,17.35766,26.04658641,6.714751514,0.9617,2432.48877,69,17.3483,17.3681,3.64E-14
0_0_0|13_4_9,0_0_0|12_3_10,17.50436,41.32141389,6.862523437,4.941,3645.56299,81,17.4926,17.5149,3.04E-14
0_0_0|11_5_7,0_0_0|10_2_8,18.25429,17.0254584,5.639904546,2.805,2857.10107,23,18.2391,18.268,2.10E-14
0_0_0|8_4_4,0_0_0|7_1_7,18.33865,1.266677531,2.287358768,0.07159,1628.37256,17,18.3262,18.3499,8.00E-15
0_0_0|15_7_9,0_0_0|14_6_8,19.12996,17.2751964,5.023783157,27,5214.38818,31,19.1162,19.1442,1.06E-14
0_0_0|11_3_8,0_0_0|10_2_9,19.24597,59.13554434,5.612294174,2.275,2608.82373,69,19.2355,19.2573,2.64E-14
0_0_0|10_5_6,0_0_0|9_2_7,19.34995,50.90539495,5.449256392,1.829,2472.85254,63,19.3368,19.3633,2.48E-14
0_0_0|14_7_8,0_0_0|13_6_7,19.68805,91.06407462,5.581097961,27.3,4696.65332,87,19.6734,19.7018,1.52E-14
0_0_0|13_7_7,0_0_0|12_6_6,20.42595,50.79035881,4.747158491,27.03,4211.40771,27,20.4128,20.4397,1.25E-14
0_0_0|7_4_3,0_0_0|6_1_6,20.66181,5.232051179,3.202733601,0.06752,1339.84241,45,20.6513,20.6755,1.25E-14
0_0_0|12_7_6,0_0_0|11_6_5,21.33317,242.6015631,5.175413264,26.27,3759.23608,75,21.3169,21.3486,1.91E-14
0_0_0|11_4_7,0_0_0|10_3_8,22.08091,128.5068925,4.354833835,4.575,2732.24902,69,22.0648,22.0969,2.16E-14
0_0_0|12_6_6,0_0_0|11_5_7,22.13775,76.43102447,4.039137218,17.69,3507.02124,25,22.1239,22.1504,1.52E-14
0_0_0|11_7_4,0_0_0|10_6_5,22.37473,369.0169243,4.767939451,25.29,3340.70435,69,22.3606,22.389,2.17E-14
0_0_0|12_6_7,0_0_0|11_5_6,22.99881,228.8575092,4.228458462,16.51,3501.69531,75,22.9854,23.0134,1.87E-14
0_0_0|10_6_5,0_0_0|10_3_8,23.31846,2.619097349,1.833890585,0.09003,2697.66797,63,23.3049,23.3296,4.91E-15
0_0_0|8_3_6,0_0_0|7_0_7,23.81676,59.53102352,3.241433035,0.609,1447.57629,51,23.8001,23.8313,2.30E-14
0_0_0|8_4_5,0_0_0|7_1_6,23.89518,84.66412324,3.350946919,1.038,1615.32715,51,23.8801,23.9094,2.28E-14
0_0_0|10_6_5,0_0_0|9_5_4,25.14613,528.1762287,3.58877749,16.05,2697.66772,63,25.1311,25.1581,1.72E-14
0_0_0|10_5_5,0_0_0|9_4_6,26.05384,146.3593778,2.869597494,9.895,2481.46631,21,26.0396,26.0718,1.62E-14
0_0_0|13_5_9,0_0_0|12_4_8,26.25519,45.32497167,2.434991489,9.332,3721.43921,27,26.2392,26.2688,8.78E-15
0_0_0|9_6_4,0_0_0|8_5_3,26.64294,247.2563189,2.893142695,15.33,2346.99854,19,26.6275,26.6576,1.18E-14
0_0_0|7_3_5,0_0_0|6_0_6,27.0272,23.1883002,2.115690686,0.4835,1175.04065,15,27.0131,27.0417,1.27E-14